src/test/resources/org/kohsuke/github/GHWorkflowRunTest/,github-api,maven-build-build_java_17,116
target/site/,spring-framework-petclinic,maven-build-build,108
target/site/,spring-framework-petclinic,maven-build-build,108
src/test/resources/org/kohsuke/github/GHContentIntegrationTest/,github-api,maven-build-build_java_17,108
src/test/resources/org/kohsuke/github/GHContentIntegrationTest/,github-api,maven-build-build_java_17,108
target/site/,mooc-software-testing,maven-build,106
target/site/,mooc-software-testing,maven-build,106
target/cache/,github-api,maven-build-test_os_ubuntu_java_17,105
target/cache/,github-api,maven-build-test_os_ubuntu_java_11,105
target/classes/soot/dotnet/proto/,soot,ci-BuildAndTest_java_version_9,98
target/classes/soot/dotnet/proto/,soot,ci-BuildAndTest_java_version_8,98
target/classes/soot/dotnet/proto/,soot,ci-BuildAndTest_java_version_11,98
src/test/resources/org/kohsuke/github/GHProjectCardTest/,github-api,maven-build-build_java_17,97
src/test/resources/org/kohsuke/github/GHProjectCardTest/,github-api,maven-build-build_java_17,97
js/node_modules/es5-ext/array/,open-location-code,main-testjsclosure,94
js/node_modules/es5-ext/array/,open-location-code,main-testjs,94
js/node_modules/table/,open-location-code,main-testjsclosure,91
js/node_modules/table/,open-location-code,main-testjs,91
target/surefire-reports/,UniversalMediaServer,ci.yaml-linuxfocal_java-version_17,90
target/surefire-reports/,UniversalMediaServer,ci.yaml-linuxfocal_java-version_17,90
target/surefire-reports/,UniversalMediaServer,ci.yaml-linuxbionic_java-version_17,90
target/surefire-reports/,UniversalMediaServer,ci.yaml-linuxbionic_java-version_17,90
target/jacoco-ut/,mooc-software-testing,maven-build,84
src/test/resources/org/kohsuke/github/GHIssueEventTest/,github-api,maven-build-build_java_17,82
src/test/resources/org/kohsuke/github/GHIssueEventTest/,github-api,maven-build-build_java_17,82
js/node_modules/es5-ext/object/,open-location-code,main-testjsclosure,80
js/node_modules/es5-ext/object/,open-location-code,main-testjs,80
target/classes/soot/jimple/spark/ondemand/,soot,ci-BuildAndTest_java_version_9,79
target/classes/soot/jimple/spark/ondemand/,soot,ci-BuildAndTest_java_version_8,79
target/classes/soot/jimple/spark/ondemand/,soot,ci-BuildAndTest_java_version_11,79
src/test/resources/org/kohsuke/github/GitHubTest/,github-api,maven-build-build_java_17,79
src/test/resources/org/kohsuke/github/GitHubTest/,github-api,maven-build-build_java_17,79
js/node_modules/es5-ext/math/,open-location-code,main-testjsclosure,75
js/node_modules/es5-ext/math/,open-location-code,main-testjs,75
js/node_modules/snapdragon/,open-location-code,main-testjsclosure,73
target/surefire-reports/,fabric-sdk-java,build-test_java-version_8,72
target/surefire-reports/,fabric-sdk-java,build-test_java-version_8,72
target/surefire-reports/,fabric-sdk-java,build-test_java-version_17,72
target/surefire-reports/,fabric-sdk-java,build-test_java-version_17,72
