proj_name,workflow_path,java_version,unused_csv_file,unused_dirs
github-api,.github/workflows/codeql-analysis.yml,11,github-api_codeql-analysis-analyze_language_java.csv,target/maven-status/~target/test-classes/~
github-api,.github/workflows/maven-build.yml,8,github-api_maven-build-test8_os_ubuntu_java_8.csv,target/cache/~target/maven-status/~target/surefire-reports/~target/test-classes/;slow-or-flaky-tests.txt;~
github-api,.github/workflows/maven-build.yml,11,github-api_maven-build-site_java_11.csv,target/maven-status/~target/site/~
github-api,.github/workflows/maven-build.yml,11,github-api_maven-build-test_os_ubuntu_java_11.csv,target/cache/~target/japicmp/~target/maven-status/~target/site/~target/surefire-reports/~target/test-classes/;slow-or-flaky-tests.txt;~
github-api,.github/workflows/maven-build.yml,17,github-api_maven-build-test_os_ubuntu_java_17.csv,target/cache/~target/japicmp/~target/maven-status/~target/site/~target/surefire-reports/~target/test-classes/;slow-or-flaky-tests.txt;~
mcMMO,.github/workflows/maven.yml,17,mcMMO_maven-compile.csv,target/maven-status/~target/surefire-reports/~
cucumber-java-skeleton,.github/workflows/build.yml,11,cucumber-java-skeleton_build-build.csv,target/maven-status/~target/surefire-reports/;TEST-io.cucumber.skeleton.RunCucumberTest.xml;~
spring-framework-petclinic,.github/workflows/maven-build.yml,11,spring-framework-petclinic_maven-build-build.csv,target/maven-status/~target/site/~target/surefire-reports/~target/.wro4j/~
spring-petclinic-rest,.github/workflows/maven-build.yml,11,spring-petclinic-rest_maven-build-build.csv,target/maven-status/~target/site/~target/surefire-reports/~
matsim-example-project,.github/workflows/maven.yml,11,matsim-example-project_maven-build.csv,target/maven-status/~target/surefire-reports/~
pipelines-java,.github/workflows/codeql-analysis.yml,11,pipelines-java_codeql-analysis-analyze_language_java.csv,target/maven-status/~target/test-classes/~
mooc-software-testing,.github/workflows/maven.yml,11,mooc-software-testing_maven-build.csv,target/jacoco-ut/~target/maven-status/~target/site/~target/surefire-reports/~
jv-fruit-shop,.github/workflows/ci.yml,11,jv-fruit-shop_ci-build.csv,target/maven-status/~
Mybatis-PageHelper,.github/workflows/pull-request.yml,8,Mybatis-PageHelper_pull-request-mvnverify.csv,target/maven-status/~target/surefire-reports/~
Java-WebSocket,.github/workflows/checkstyle.yml,8,Java-WebSocket_checkstyle-build.csv,
junit4,.github/workflows/main.yml,8,junit4_main-buildandverify_java_8.csv,target/javadoc-bundle-options/;javadoc-options-javadoc-resources.xml;~target/maven-status/~target/site/;dependencies.html;~target/site/;dependency-convergence.html;~target/site/;dependency-info.html;~target/site/;distribution-management.html;~target/site/;faq.html;~target/site/;index.html;~target/site/;integration.html;~target/site/;issue-tracking.html;~target/site/;junit5.html;~target/site/;junit-lambda-campaign.html;~target/site/;junit-lambda-contributors.html;~target/site/;junit-lambda.html;~target/site/;junit-lambda-spending.html;~target/site/;license.html;~target/site/;project-info.html;~target/site/;project-reports.html;~target/site/;source-repository.html;~target/site/;team-list.html;~target/surefire-reports/~
